Date,Date,Precipitation,Temperature,Wind
1947-07-21,1947-07-21,0.0,19.0,20.0
1947-07-22,1947-07-22,0.0,22.3,20.0
1947-07-23,1947-07-23,0.0,24.3,20.0
1947-07-24,1947-07-24,5.0,22.5,20.0
1947-07-25,1947-07-25,0.0,21.9,20.0
1947-07-26,1947-07-26,0.0,23.1,20.0
1947-07-27,1947-07-27,0.0,18.8,20.0
1947-07-28,1947-07-28,0.0,19.8,20.0
1947-07-29,1947-07-29,24.0,20.6,20.0
1947-07-30,1947-07-30,0.0,18.4,20.0
1947-07-31,1947-07-31,0.0,16.0,20.0
1947-08-01,1947-08-01,0.0,16.1,20.0
1947-08-02,1947-08-02,0.0,16.3,20.0
1947-08-03,1947-08-03,0.0,21.4,20.0
1947-08-04,1947-08-04,0.0,21.5,20.0
1947-08-05,1947-08-05,55.0,19.8,20.0
1947-08-06,1947-08-06,214.0,15.6,20.0
1947-08-07,1947-08-07,98.0,16.1,20.0
1947-08-08,1947-08-08,0.0,14.8,20.0
1947-08-09,1947-08-09,0.0,15.8,20.0
1947-08-10,1947-08-10,0.0,18.1,20.0
1947-08-11,1947-08-11,0.0,18.9,20.0
1947-08-12,1947-08-12,0.0,19.8,20.0
1947-08-13,1947-08-13,0.0,20.2,20.0
1947-08-14,1947-08-14,0.0,21.8,20.0
1947-08-15,1947-08-15,0.0,24.6,20.0
1947-08-16,1947-08-16,0.0,23.2,20.0
1947-08-17,1947-08-17,0.0,23.2,20.0
1947-08-18,1947-08-18,0.0,22.2,20.0
1947-08-19,1947-08-19,0.0,20.8,20.0
1947-08-20,1947-08-20,0.0,18.5,20.0
1947-08-21,1947-08-21,0.0,17.3,20.0
1947-08-22,1947-08-22,0.0,17.5,20.0
1947-08-23,1947-08-23,0.0,18.8,20.0
1947-08-24,1947-08-24,11.0,17.9,20.0
1947-08-25,1947-08-25,0.0,19.0,20.0
1947-08-26,1947-08-26,0.0,18.0,20.0
1947-08-27,1947-08-27,0.0,19.0,20.0
1947-08-28,1947-08-28,0.0,16.6,20.0
1947-08-29,1947-08-29,0.0,17.2,20.0
1947-08-30,1947-08-30,0.0,14.0,20.0
1947-08-31,1947-08-31,0.0,14.2,20.0
1947-09-01,1947-09-01,0.0,16.5,20.0
1947-09-02,1947-09-02,0.0,15.5,20.0
1947-09-03,1947-09-03,0.0,17.6,20.0
1947-09-04,1947-09-04,0.0,15.2,20.0
1947-09-05,1947-09-05,0.0,15.9,20.0
1947-09-06,1947-09-06,0.0,17.6,20.0
1947-09-07,1947-09-07,19.0,14.2,20.0
1947-09-08,1947-09-08,11.0,15.4,20.0
1947-09-09,1947-09-09,0.0,16.4,20.0
1947-09-10,1947-09-10,0.0,17.6,20.0
1947-09-11,1947-09-11,0.0,17.7,20.0
1947-09-12,1947-09-12,0.0,21.6,20.0
1947-09-13,1947-09-13,46.0,23.2,20.0
1947-09-14,1947-09-14,0.0,19.4,20.0
1947-09-15,1947-09-15,0.0,20.9,20.0
1947-09-16,1947-09-16,0.0,24.1,20.0
1947-09-17,1947-09-17,8.0,17.8,20.0
1947-09-18,1947-09-18,1.0,18.2,20.0
1947-09-19,1947-09-19,0.0,22.9,20.0
1947-09-20,1947-09-20,0.0,22.6,20.0
1947-09-21,1947-09-21,3.0,17.6,20.0
1947-09-22,1947-09-22,0.0,14.0,20.0
1947-09-23,1947-09-23,160.0,11.5,20.0
1947-09-24,1947-09-24,13.0,9.8,20.0
1947-09-25,1947-09-25,0.0,13.6,20.0
1947-09-26,1947-09-26,0.0,15.5,20.0
